,biogas,capacity_ren,capacity_offshore,capacity_pv,demand,insulation,learning,elasticity,gasprices,woodprices,cop
S286,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S287,reference,reference,reference,reference,Sufficiency,NoPolicy,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S288,reference,reference,reference,reference,Reindustrialisation,reference,reference,reference,reference,reference,reference
S289,reference,reference,reference,reference,Reindustrialisation,reference,reference,reference,reference,reference,COP+
S290,reference,reference,reference,reference,Reindustrialisation,reference,reference,reference,reference,PriceWood+,reference
S291,reference,reference,reference,reference,Reindustrialisation,reference,reference,reference,reference,PriceWood+,COP+
S292,reference,reference,reference,reference,Reindustrialisation,reference,reference,reference,PriceGas+,reference,reference
S293,reference,reference,reference,reference,Reindustrialisation,reference,reference,reference,PriceGas+,reference,COP+
S294,reference,reference,reference,reference,Reindustrialisation,reference,reference,reference,PriceGas+,PriceWood+,reference
S295,reference,reference,reference,reference,Reindustrialisation,reference,reference,reference,PriceGas+,PriceWood+,COP+
S296,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity+,reference,reference,reference
S297,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity+,reference,reference,COP+
S298,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity+,reference,PriceWood+,reference
S299,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity+,reference,PriceWood+,COP+
S300,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity+,PriceGas+,reference,reference
S301,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity+,PriceGas+,reference,COP+
S302,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity+,PriceGas+,PriceWood+,reference
S303,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S304,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity-,reference,reference,reference
S305,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity-,reference,reference,COP+
S306,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity-,reference,PriceWood+,reference
S307,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity-,reference,PriceWood+,COP+
S308,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity-,PriceGas+,reference,reference
S309,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity-,PriceGas+,reference,COP+
S310,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity-,PriceGas+,PriceWood+,reference
S311,reference,reference,reference,reference,Reindustrialisation,reference,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S312,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,reference,reference,reference,reference
S313,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,reference,reference,reference,COP+
S314,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,reference,reference,PriceWood+,reference
S315,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,reference,reference,PriceWood+,COP+
S316,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,reference,PriceGas+,reference,reference
S317,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,reference,PriceGas+,reference,COP+
S318,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,reference,PriceGas+,PriceWood+,reference
S319,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,reference,PriceGas+,PriceWood+,COP+
S320,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,reference,reference,reference
S321,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,reference,reference,COP+
S322,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,reference,PriceWood+,reference
S323,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,reference,PriceWood+,COP+
S324,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,PriceGas+,reference,reference
S325,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,PriceGas+,reference,COP+
S326,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,reference
S327,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity+,PriceGas+,PriceWood+,COP+
S328,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,reference,reference,reference
S329,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,reference,reference,COP+
S330,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,reference,PriceWood+,reference
S331,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,reference,PriceWood+,COP+
S332,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,PriceGas+,reference,reference
S333,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,PriceGas+,reference,COP+
S334,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,reference
S335,reference,reference,reference,reference,Reindustrialisation,reference,Learning+,Elasticity-,PriceGas+,PriceWood+,COP+
S336,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,reference,reference,reference,reference
S337,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,reference,reference,reference,COP+
S338,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,reference,reference,PriceWood+,reference
S339,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,reference,reference,PriceWood+,COP+
S340,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,reference,PriceGas+,reference,reference
S341,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,reference,PriceGas+,reference,COP+
S342,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,reference,PriceGas+,PriceWood+,reference
S343,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,reference,PriceGas+,PriceWood+,COP+
S344,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,reference,reference,reference
S345,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,reference,reference,COP+
S346,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,reference,PriceWood+,reference
S347,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,reference,PriceWood+,COP+
S348,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,PriceGas+,reference,reference
S349,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,PriceGas+,reference,COP+
S350,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,reference
S351,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity+,PriceGas+,PriceWood+,COP+
S352,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,reference,reference,reference
S353,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,reference,reference,COP+
S354,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,reference,PriceWood+,reference
S355,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,reference,PriceWood+,COP+
S356,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,PriceGas+,reference,reference
S357,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,PriceGas+,reference,COP+
S358,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,reference
S359,reference,reference,reference,reference,Reindustrialisation,reference,Learning-,Elasticity-,PriceGas+,PriceWood+,COP+
S360,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,reference,reference,reference,reference
S361,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,reference,reference,reference,COP+
S362,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,reference,reference,PriceWood+,reference
S363,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,reference,reference,PriceWood+,COP+
S364,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,reference,PriceGas+,reference,reference
S365,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,reference,PriceGas+,reference,COP+
S366,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,reference,PriceGas+,PriceWood+,reference
S367,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,reference,PriceGas+,PriceWood+,COP+
S368,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,reference,reference,reference
S369,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,reference,reference,COP+
S370,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,reference,PriceWood+,reference
S371,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,reference,PriceWood+,COP+
S372,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,PriceGas+,reference,reference
S373,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,PriceGas+,reference,COP+
S374,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,reference
S375,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity+,PriceGas+,PriceWood+,COP+
S376,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,reference,reference,reference
S377,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,reference,reference,COP+
S378,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,reference,PriceWood+,reference
S379,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,reference,PriceWood+,COP+
S380,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,PriceGas+,reference,reference
S381,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,PriceGas+,reference,COP+
S382,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,reference
S383,reference,reference,reference,reference,Reindustrialisation,NoPolicy,reference,Elasticity-,PriceGas+,PriceWood+,COP+
S384,reference,reference,reference,reference,Reindustrialisation,NoPolicy,Learning+,reference,reference,reference,reference
